report_year,month,month_num,acidentes_com_vitimas,vitimas_mortais,feridos_graves,feridos_leves
2020,jan,1,2779,46,137,3337
2020,fev,2,2551,38,184,3057
2020,mar,3,1759,33,106,2018
2020,abr,4,925,21,62,1000
2020,mai,5,1868,49,159,2056
2020,jun,6,2241,51,158,2559
2020,jul,7,2819,71,203,3264
2020,ago,8,2874,51,220,3418
2020,set,9,2687,56,174,3139
2020,out,10,2559,53,164,2877
2020,nov,11,2255,30,146,2574
2020,dez,12,2408,37,164,2759
2021,Jan,1,1698,34,103,1905
2021,Fev,2,1184,17,73,1296
2021,Mar,3,1844,31,135,2086
2021,Abr,4,2229,30,159,2545
2021,Mai,5,2782,55,193,3267
2021,Jun,6,2863,48,213,3344
2021,Jul,7,3032,62,213,3620
2021,Ago,8,3185,68,228,3880
2021,Set,9,2944,60,231,3454
2021,Out,10,3259,57,224,3797
2021,Nov,11,2879,52,195,3340
2021,Dez,12,2792,47,194,3319
2022,Jan,1,2334,51,175,2654
2022,Fev,2,2311,37,152,2656
2022,Mar,3,2460,42,163,2869
2022,Abr,4,2648,34,179,3108
2022,Mai,5,3101,67,244,3614
2022,Jun,6,2876,49,187,3391
2022,Jul,7,3418,55,247,4002
2022,Ago,8,3342,76,253,4092
2022,Set,9,3180,53,216,3718
2022,Out,10,3035,52,177,3524
2022,Nov,11,2888,45,152,3358
2022,Dez,12,2683,57,157,3128
2023,Jan,1,2780,57,177,3252
2023,Fev,2,2423,46,161,2795
2023,Mar,3,2800,43,174,3248
2023,Abr,4,2960,67,222,3492
2023,Mai,5,3157,42,198,3623
2023,Jun,6,3193,54,245,3686
2023,Jul,7,3525,66,274,4226
2023,Ago,8,3544,64,285,4247
2023,Set,9,3229,67,210,3811
2023,Out,10,3140,55,187,3638
2023,Nov,11,2974,29,173,3487
2023,Dez,12,2870,52,194,3368
2024,Jan,1,2798,45,187,3245
2024,Fev,2,2720,41,176,3199
2024,Mar,3,2768,43,172,3217
2024,Abr,4,3057,43,220,3504
2024,Mai,5,3337,56,227,3864
2024,Jun,6,3235,49,228,3783
2024,Jul,7,3587,65,274,4179
2024,Ago,8,3388,72,265,4071
2024,Set,9,3366,64,243,3975
2024,Out,10,3363,45,204,4014
2024,Nov,11,3111,41,212,3687
2024,Dez,12,3307,54,218,3869
